colour	x	y	label	showSelectedlegendcolour	showSelected1	PANEL	group
#7F7F7F	50	5	train error: 0%	train	1	1	1
#000000	50	0	validation error: 26%	validation	1	1	2
#7F7F7F	50	5	train error: 34%	train	2	1	1
#000000	50	0	validation error: 28%	validation	2	1	2
#7F7F7F	50	5	train error: 24%	train	3	1	1
#000000	50	0	validation error: 34%	validation	3	1	2
#7F7F7F	50	5	train error: 26%	train	4	1	1
#000000	50	0	validation error: 30%	validation	4	1	2
#7F7F7F	50	5	train error: 24%	train	5	1	1
#000000	50	0	validation error: 24%	validation	5	1	2
#7F7F7F	50	5	train error: 26%	train	6	1	1
#000000	50	0	validation error: 28%	validation	6	1	2
#7F7F7F	50	5	train error: 24%	train	7	1	1
#000000	50	0	validation error: 20%	validation	7	1	2
#7F7F7F	50	5	train error: 24%	train	8	1	1
#000000	50	0	validation error: 20%	validation	8	1	2
#7F7F7F	50	5	train error: 24%	train	9	1	1
#000000	50	0	validation error: 20%	validation	9	1	2
#7F7F7F	50	5	train error: 24%	train	10	1	1
#000000	50	0	validation error: 20%	validation	10	1	2
#7F7F7F	50	5	train error: 24%	train	11	1	1
#000000	50	0	validation error: 20%	validation	11	1	2
#7F7F7F	50	5	train error: 24%	train	12	1	1
#000000	50	0	validation error: 20%	validation	12	1	2
#7F7F7F	50	5	train error: 24%	train	13	1	1
#000000	50	0	validation error: 20%	validation	13	1	2
#7F7F7F	50	5	train error: 24%	train	14	1	1
#000000	50	0	validation error: 20%	validation	14	1	2
#7F7F7F	50	5	train error: 24%	train	15	1	1
#000000	50	0	validation error: 20%	validation	15	1	2
#7F7F7F	50	5	train error: 24%	train	16	1	1
#000000	50	0	validation error: 20%	validation	16	1	2
#7F7F7F	50	5	train error: 24%	train	17	1	1
#000000	50	0	validation error: 20%	validation	17	1	2
#7F7F7F	50	5	train error: 24%	train	18	1	1
#000000	50	0	validation error: 20%	validation	18	1	2
#7F7F7F	50	5	train error: 24%	train	19	1	1
#000000	50	0	validation error: 20%	validation	19	1	2
#7F7F7F	50	5	train error: 24%	train	20	1	1
#000000	50	0	validation error: 20%	validation	20	1	2
#7F7F7F	50	5	train error: 24%	train	21	1	1
#000000	50	0	validation error: 20%	validation	21	1	2
#7F7F7F	50	5	train error: 24%	train	22	1	1
#000000	50	0	validation error: 20%	validation	22	1	2
#7F7F7F	50	5	train error: 24%	train	23	1	1
#000000	50	0	validation error: 20%	validation	23	1	2
#7F7F7F	50	5	train error: 24%	train	24	1	1
#000000	50	0	validation error: 20%	validation	24	1	2
#7F7F7F	50	5	train error: 24%	train	25	1	1
#000000	50	0	validation error: 20%	validation	25	1	2
#7F7F7F	50	5	train error: 24%	train	26	1	1
#000000	50	0	validation error: 20%	validation	26	1	2
#7F7F7F	50	5	train error: 24%	train	27	1	1
#000000	50	0	validation error: 20%	validation	27	1	2
#7F7F7F	50	5	train error: 24%	train	28	1	1
#000000	50	0	validation error: 20%	validation	28	1	2
#7F7F7F	50	5	train error: 24%	train	29	1	1
#000000	50	0	validation error: 20%	validation	29	1	2
#7F7F7F	50	5	train error: 24%	train	30	1	1
#000000	50	0	validation error: 20%	validation	30	1	2
#7F7F7F	50	5	train error: 24%	train	31	1	1
#000000	50	0	validation error: 20%	validation	31	1	2
#7F7F7F	50	5	train error: 24%	train	32	1	1
#000000	50	0	validation error: 20%	validation	32	1	2
#7F7F7F	50	5	train error: 24%	train	33	1	1
#000000	50	0	validation error: 20%	validation	33	1	2
#7F7F7F	50	5	train error: 24%	train	34	1	1
#000000	50	0	validation error: 20%	validation	34	1	2
#7F7F7F	50	5	train error: 24%	train	35	1	1
#000000	50	0	validation error: 20%	validation	35	1	2
#7F7F7F	50	5	train error: 24%	train	36	1	1
#000000	50	0	validation error: 20%	validation	36	1	2
#7F7F7F	50	5	train error: 24%	train	37	1	1
#000000	50	0	validation error: 20%	validation	37	1	2
#7F7F7F	50	5	train error: 24%	train	38	1	1
#000000	50	0	validation error: 20%	validation	38	1	2
