colour	x	y	label	showSelectedlegendcolour	showSelected1	PANEL	group
#7F7F7F	50	5	train error: 24%	train	39	1	1
#000000	50	0	validation error: 20%	validation	39	1	2
#7F7F7F	50	5	train error: 24%	train	40	1	1
#000000	50	0	validation error: 20%	validation	40	1	2
#7F7F7F	50	5	train error: 24%	train	41	1	1
#000000	50	0	validation error: 20%	validation	41	1	2
#7F7F7F	50	5	train error: 24%	train	42	1	1
#000000	50	0	validation error: 20%	validation	42	1	2
#7F7F7F	50	5	train error: 24%	train	43	1	1
#000000	50	0	validation error: 20%	validation	43	1	2
#7F7F7F	50	5	train error: 24%	train	44	1	1
#000000	50	0	validation error: 20%	validation	44	1	2
#7F7F7F	50	5	train error: 24%	train	45	1	1
#000000	50	0	validation error: 20%	validation	45	1	2
#7F7F7F	50	5	train error: 24%	train	46	1	1
#000000	50	0	validation error: 20%	validation	46	1	2
#7F7F7F	50	5	train error: 24%	train	47	1	1
#000000	50	0	validation error: 20%	validation	47	1	2
#7F7F7F	50	5	train error: 24%	train	48	1	1
#000000	50	0	validation error: 20%	validation	48	1	2
#7F7F7F	50	5	train error: 24%	train	49	1	1
#000000	50	0	validation error: 20%	validation	49	1	2
#7F7F7F	50	5	train error: 24%	train	50	1	1
#000000	50	0	validation error: 20%	validation	50	1	2
#7F7F7F	50	5	train error: 0%	train	1	2	1
#000000	50	0	validation error: 38%	validation	1	2	2
#7F7F7F	50	5	train error: 22%	train	2	2	1
#000000	50	0	validation error: 30%	validation	2	2	2
#7F7F7F	50	5	train error: 18%	train	3	2	1
#000000	50	0	validation error: 30%	validation	3	2	2
#7F7F7F	50	5	train error: 26%	train	4	2	1
#000000	50	0	validation error: 26%	validation	4	2	2
#7F7F7F	50	5	train error: 30%	train	5	2	1
#000000	50	0	validation error: 24%	validation	5	2	2
#7F7F7F	50	5	train error: 22%	train	6	2	1
#000000	50	0	validation error: 24%	validation	6	2	2
#7F7F7F	50	5	train error: 24%	train	7	2	1
#000000	50	0	validation error: 24%	validation	7	2	2
#7F7F7F	50	5	train error: 22%	train	8	2	1
#000000	50	0	validation error: 20%	validation	8	2	2
#7F7F7F	50	5	train error: 30%	train	9	2	1
#000000	50	0	validation error: 24%	validation	9	2	2
#7F7F7F	50	5	train error: 26%	train	10	2	1
#000000	50	0	validation error: 28%	validation	10	2	2
#7F7F7F	50	5	train error: 28%	train	11	2	1
#000000	50	0	validation error: 26%	validation	11	2	2
#7F7F7F	50	5	train error: 34%	train	12	2	1
#000000	50	0	validation error: 30%	validation	12	2	2
#7F7F7F	50	5	train error: 28%	train	13	2	1
#000000	50	0	validation error: 26%	validation	13	2	2
#7F7F7F	50	5	train error: 26%	train	14	2	1
#000000	50	0	validation error: 30%	validation	14	2	2
#7F7F7F	50	5	train error: 26%	train	15	2	1
#000000	50	0	validation error: 32%	validation	15	2	2
#7F7F7F	50	5	train error: 28%	train	16	2	1
#000000	50	0	validation error: 32%	validation	16	2	2
#7F7F7F	50	5	train error: 26%	train	17	2	1
#000000	50	0	validation error: 32%	validation	17	2	2
#7F7F7F	50	5	train error: 28%	train	18	2	1
#000000	50	0	validation error: 32%	validation	18	2	2
#7F7F7F	50	5	train error: 26%	train	19	2	1
#000000	50	0	validation error: 32%	validation	19	2	2
#7F7F7F	50	5	train error: 26%	train	20	2	1
#000000	50	0	validation error: 32%	validation	20	2	2
#7F7F7F	50	5	train error: 30%	train	21	2	1
#000000	50	0	validation error: 30%	validation	21	2	2
#7F7F7F	50	5	train error: 30%	train	22	2	1
#000000	50	0	validation error: 32%	validation	22	2	2
#7F7F7F	50	5	train error: 30%	train	23	2	1
#000000	50	0	validation error: 30%	validation	23	2	2
#7F7F7F	50	5	train error: 34%	train	24	2	1
#000000	50	0	validation error: 36%	validation	24	2	2
#7F7F7F	50	5	train error: 34%	train	25	2	1
#000000	50	0	validation error: 42%	validation	25	2	2
#7F7F7F	50	5	train error: 34%	train	26	2	1
#000000	50	0	validation error: 42%	validation	26	2	2
#7F7F7F	50	5	train error: 34%	train	27	2	1
#000000	50	0	validation error: 42%	validation	27	2	2
#7F7F7F	50	5	train error: 34%	train	28	2	1
#000000	50	0	validation error: 42%	validation	28	2	2
#7F7F7F	50	5	train error: 34%	train	29	2	1
#000000	50	0	validation error: 42%	validation	29	2	2
#7F7F7F	50	5	train error: 34%	train	30	2	1
#000000	50	0	validation error: 42%	validation	30	2	2
#7F7F7F	50	5	train error: 34%	train	31	2	1
#000000	50	0	validation error: 42%	validation	31	2	2
#7F7F7F	50	5	train error: 34%	train	32	2	1
#000000	50	0	validation error: 42%	validation	32	2	2
#7F7F7F	50	5	train error: 34%	train	33	2	1
#000000	50	0	validation error: 42%	validation	33	2	2
#7F7F7F	50	5	train error: 34%	train	34	2	1
#000000	50	0	validation error: 42%	validation	34	2	2
#7F7F7F	50	5	train error: 34%	train	35	2	1
#000000	50	0	validation error: 42%	validation	35	2	2
#7F7F7F	50	5	train error: 34%	train	36	2	1
#000000	50	0	validation error: 42%	validation	36	2	2
#7F7F7F	50	5	train error: 34%	train	37	2	1
#000000	50	0	validation error: 42%	validation	37	2	2
#7F7F7F	50	5	train error: 34%	train	38	2	1
#000000	50	0	validation error: 42%	validation	38	2	2
#7F7F7F	50	5	train error: 34%	train	39	2	1
#000000	50	0	validation error: 42%	validation	39	2	2
#7F7F7F	50	5	train error: 34%	train	40	2	1
#000000	50	0	validation error: 42%	validation	40	2	2
#7F7F7F	50	5	train error: 34%	train	41	2	1
#000000	50	0	validation error: 42%	validation	41	2	2
#7F7F7F	50	5	train error: 34%	train	42	2	1
#000000	50	0	validation error: 42%	validation	42	2	2
#7F7F7F	50	5	train error: 34%	train	43	2	1
#000000	50	0	validation error: 42%	validation	43	2	2
#7F7F7F	50	5	train error: 34%	train	44	2	1
#000000	50	0	validation error: 42%	validation	44	2	2
#7F7F7F	50	5	train error: 34%	train	45	2	1
#000000	50	0	validation error: 42%	validation	45	2	2
#7F7F7F	50	5	train error: 34%	train	46	2	1
#000000	50	0	validation error: 42%	validation	46	2	2
#7F7F7F	50	5	train error: 34%	train	47	2	1
#000000	50	0	validation error: 42%	validation	47	2	2
#7F7F7F	50	5	train error: 34%	train	48	2	1
#000000	50	0	validation error: 42%	validation	48	2	2
#7F7F7F	50	5	train error: 34%	train	49	2	1
#000000	50	0	validation error: 42%	validation	49	2	2
#7F7F7F	50	5	train error: 34%	train	50	2	1
#000000	50	0	validation error: 42%	validation	50	2	2
#7F7F7F	50	5	train error: 0%	train	1	3	1
#000000	50	0	validation error: 32%	validation	1	3	2
#7F7F7F	50	5	train error: 16%	train	2	3	1
#000000	50	0	validation error: 30%	validation	2	3	2
#7F7F7F	50	5	train error: 14%	train	3	3	1
#000000	50	0	validation error: 30%	validation	3	3	2
#7F7F7F	50	5	train error: 14%	train	4	3	1
#000000	50	0	validation error: 32%	validation	4	3	2
#7F7F7F	50	5	train error: 14%	train	5	3	1
#000000	50	0	validation error: 32%	validation	5	3	2
#7F7F7F	50	5	train error: 12%	train	6	3	1
#000000	50	0	validation error: 32%	validation	6	3	2
#7F7F7F	50	5	train error: 16%	train	7	3	1
#000000	50	0	validation error: 32%	validation	7	3	2
#7F7F7F	50	5	train error: 20%	train	8	3	1
#000000	50	0	validation error: 34%	validation	8	3	2
#7F7F7F	50	5	train error: 16%	train	9	3	1
#000000	50	0	validation error: 32%	validation	9	3	2
#7F7F7F	50	5	train error: 18%	train	10	3	1
#000000	50	0	validation error: 34%	validation	10	3	2
#7F7F7F	50	5	train error: 20%	train	11	3	1
#000000	50	0	validation error: 34%	validation	11	3	2
#7F7F7F	50	5	train error: 22%	train	12	3	1
#000000	50	0	validation error: 36%	validation	12	3	2
#7F7F7F	50	5	train error: 22%	train	13	3	1
#000000	50	0	validation error: 36%	validation	13	3	2
#7F7F7F	50	5	train error: 20%	train	14	3	1
#000000	50	0	validation error: 40%	validation	14	3	2
#7F7F7F	50	5	train error: 24%	train	15	3	1
#000000	50	0	validation error: 38%	validation	15	3	2
#7F7F7F	50	5	train error: 26%	train	16	3	1
#000000	50	0	validation error: 42%	validation	16	3	2
#7F7F7F	50	5	train error: 28%	train	17	3	1
#000000	50	0	validation error: 42%	validation	17	3	2
#7F7F7F	50	5	train error: 26%	train	18	3	1
#000000	50	0	validation error: 42%	validation	18	3	2
#7F7F7F	50	5	train error: 26%	train	19	3	1
#000000	50	0	validation error: 40%	validation	19	3	2
#7F7F7F	50	5	train error: 26%	train	20	3	1
#000000	50	0	validation error: 38%	validation	20	3	2
#7F7F7F	50	5	train error: 26%	train	21	3	1
#000000	50	0	validation error: 40%	validation	21	3	2
#7F7F7F	50	5	train error: 28%	train	22	3	1
#000000	50	0	validation error: 42%	validation	22	3	2
#7F7F7F	50	5	train error: 28%	train	23	3	1
#000000	50	0	validation error: 42%	validation	23	3	2
#7F7F7F	50	5	train error: 28%	train	24	3	1
#000000	50	0	validation error: 42%	validation	24	3	2
#7F7F7F	50	5	train error: 26%	train	25	3	1
#000000	50	0	validation error: 40%	validation	25	3	2
#7F7F7F	50	5	train error: 28%	train	26	3	1
#000000	50	0	validation error: 42%	validation	26	3	2
#7F7F7F	50	5	train error: 26%	train	27	3	1
#000000	50	0	validation error: 40%	validation	27	3	2
#7F7F7F	50	5	train error: 26%	train	28	3	1
#000000	50	0	validation error: 40%	validation	28	3	2
#7F7F7F	50	5	train error: 26%	train	29	3	1
#000000	50	0	validation error: 40%	validation	29	3	2
#7F7F7F	50	5	train error: 26%	train	30	3	1
#000000	50	0	validation error: 40%	validation	30	3	2
#7F7F7F	50	5	train error: 26%	train	31	3	1
#000000	50	0	validation error: 40%	validation	31	3	2
#7F7F7F	50	5	train error: 34%	train	32	3	1
#000000	50	0	validation error: 40%	validation	32	3	2
#7F7F7F	50	5	train error: 46%	train	33	3	1
#000000	50	0	validation error: 52%	validation	33	3	2
#7F7F7F	50	5	train error: 46%	train	34	3	1
#000000	50	0	validation error: 52%	validation	34	3	2
#7F7F7F	50	5	train error: 46%	train	35	3	1
#000000	50	0	validation error: 52%	validation	35	3	2
#7F7F7F	50	5	train error: 46%	train	36	3	1
#000000	50	0	validation error: 52%	validation	36	3	2
#7F7F7F	50	5	train error: 46%	train	37	3	1
#000000	50	0	validation error: 52%	validation	37	3	2
#7F7F7F	50	5	train error: 46%	train	38	3	1
#000000	50	0	validation error: 52%	validation	38	3	2
#7F7F7F	50	5	train error: 46%	train	39	3	1
#000000	50	0	validation error: 52%	validation	39	3	2
#7F7F7F	50	5	train error: 46%	train	40	3	1
#000000	50	0	validation error: 52%	validation	40	3	2
#7F7F7F	50	5	train error: 46%	train	41	3	1
#000000	50	0	validation error: 52%	validation	41	3	2
#7F7F7F	50	5	train error: 46%	train	42	3	1
#000000	50	0	validation error: 52%	validation	42	3	2
#7F7F7F	50	5	train error: 46%	train	43	3	1
#000000	50	0	validation error: 52%	validation	43	3	2
#7F7F7F	50	5	train error: 46%	train	44	3	1
#000000	50	0	validation error: 52%	validation	44	3	2
#7F7F7F	50	5	train error: 46%	train	45	3	1
#000000	50	0	validation error: 52%	validation	45	3	2
#7F7F7F	50	5	train error: 46%	train	46	3	1
#000000	50	0	validation error: 52%	validation	46	3	2
#7F7F7F	50	5	train error: 46%	train	47	3	1
#000000	50	0	validation error: 52%	validation	47	3	2
#7F7F7F	50	5	train error: 46%	train	48	3	1
#000000	50	0	validation error: 52%	validation	48	3	2
#7F7F7F	50	5	train error: 46%	train	49	3	1
#000000	50	0	validation error: 52%	validation	49	3	2
#7F7F7F	50	5	train error: 46%	train	50	3	1
#000000	50	0	validation error: 52%	validation	50	3	2
#7F7F7F	50	5	train error: 0%	train	1	4	1
#000000	50	0	validation error: 28%	validation	1	4	2
#7F7F7F	50	5	train error: 8%	train	2	4	1
#000000	50	0	validation error: 24%	validation	2	4	2
#7F7F7F	50	5	train error: 10%	train	3	4	1
#000000	50	0	validation error: 26%	validation	3	4	2
#7F7F7F	50	5	train error: 8%	train	4	4	1
#000000	50	0	validation error: 24%	validation	4	4	2
#7F7F7F	50	5	train error: 16%	train	5	4	1
#000000	50	0	validation error: 22%	validation	5	4	2
#7F7F7F	50	5	train error: 20%	train	6	4	1
#000000	50	0	validation error: 24%	validation	6	4	2
#7F7F7F	50	5	train error: 14%	train	7	4	1
#000000	50	0	validation error: 20%	validation	7	4	2
#7F7F7F	50	5	train error: 16%	train	8	4	1
#000000	50	0	validation error: 22%	validation	8	4	2
#7F7F7F	50	5	train error: 16%	train	9	4	1
#000000	50	0	validation error: 22%	validation	9	4	2
#7F7F7F	50	5	train error: 20%	train	10	4	1
#000000	50	0	validation error: 24%	validation	10	4	2
#7F7F7F	50	5	train error: 26%	train	11	4	1
#000000	50	0	validation error: 26%	validation	11	4	2
#7F7F7F	50	5	train error: 26%	train	12	4	1
#000000	50	0	validation error: 26%	validation	12	4	2
#7F7F7F	50	5	train error: 26%	train	13	4	1
#000000	50	0	validation error: 26%	validation	13	4	2
#7F7F7F	50	5	train error: 26%	train	14	4	1
#000000	50	0	validation error: 24%	validation	14	4	2
#7F7F7F	50	5	train error: 24%	train	15	4	1
#000000	50	0	validation error: 26%	validation	15	4	2
#7F7F7F	50	5	train error: 24%	train	16	4	1
#000000	50	0	validation error: 28%	validation	16	4	2
#7F7F7F	50	5	train error: 24%	train	17	4	1
#000000	50	0	validation error: 26%	validation	17	4	2
#7F7F7F	50	5	train error: 28%	train	18	4	1
#000000	50	0	validation error: 26%	validation	18	4	2
#7F7F7F	50	5	train error: 30%	train	19	4	1
#000000	50	0	validation error: 28%	validation	19	4	2
#7F7F7F	50	5	train error: 32%	train	20	4	1
#000000	50	0	validation error: 30%	validation	20	4	2
#7F7F7F	50	5	train error: 32%	train	21	4	1
#000000	50	0	validation error: 26%	validation	21	4	2
#7F7F7F	50	5	train error: 30%	train	22	4	1
#000000	50	0	validation error: 26%	validation	22	4	2
#7F7F7F	50	5	train error: 32%	train	23	4	1
#000000	50	0	validation error: 28%	validation	23	4	2
#7F7F7F	50	5	train error: 32%	train	24	4	1
#000000	50	0	validation error: 34%	validation	24	4	2
#7F7F7F	50	5	train error: 22%	train	25	4	1
#000000	50	0	validation error: 26%	validation	25	4	2
#7F7F7F	50	5	train error: 30%	train	26	4	1
#000000	50	0	validation error: 38%	validation	26	4	2
#7F7F7F	50	5	train error: 42%	train	27	4	1
#000000	50	0	validation error: 46%	validation	27	4	2
#7F7F7F	50	5	train error: 36%	train	28	4	1
#000000	50	0	validation error: 38%	validation	28	4	2
#7F7F7F	50	5	train error: 30%	train	29	4	1
#000000	50	0	validation error: 34%	validation	29	4	2
#7F7F7F	50	5	train error: 28%	train	30	4	1
#000000	50	0	validation error: 32%	validation	30	4	2
#7F7F7F	50	5	train error: 30%	train	31	4	1
#000000	50	0	validation error: 32%	validation	31	4	2
#7F7F7F	50	5	train error: 36%	train	32	4	1
#000000	50	0	validation error: 44%	validation	32	4	2
#7F7F7F	50	5	train error: 42%	train	33	4	1
#000000	50	0	validation error: 42%	validation	33	4	2
#7F7F7F	50	5	train error: 42%	train	34	4	1
#000000	50	0	validation error: 48%	validation	34	4	2
#7F7F7F	50	5	train error: 50%	train	35	4	1
#000000	50	0	validation error: 48%	validation	35	4	2
#7F7F7F	50	5	train error: 50%	train	36	4	1
#000000	50	0	validation error: 46%	validation	36	4	2
#7F7F7F	50	5	train error: 50%	train	37	4	1
#000000	50	0	validation error: 48%	validation	37	4	2
#7F7F7F	50	5	train error: 48%	train	38	4	1
#000000	50	0	validation error: 44%	validation	38	4	2
#7F7F7F	50	5	train error: 42%	train	39	4	1
#000000	50	0	validation error: 42%	validation	39	4	2
#7F7F7F	50	5	train error: 42%	train	40	4	1
#000000	50	0	validation error: 42%	validation	40	4	2
#7F7F7F	50	5	train error: 42%	train	41	4	1
#000000	50	0	validation error: 42%	validation	41	4	2
#7F7F7F	50	5	train error: 42%	train	42	4	1
#000000	50	0	validation error: 42%	validation	42	4	2
#7F7F7F	50	5	train error: 42%	train	43	4	1
#000000	50	0	validation error: 42%	validation	43	4	2
#7F7F7F	50	5	train error: 42%	train	44	4	1
#000000	50	0	validation error: 42%	validation	44	4	2
#7F7F7F	50	5	train error: 42%	train	45	4	1
#000000	50	0	validation error: 42%	validation	45	4	2
#7F7F7F	50	5	train error: 42%	train	46	4	1
#000000	50	0	validation error: 42%	validation	46	4	2
#7F7F7F	50	5	train error: 42%	train	47	4	1
#000000	50	0	validation error: 42%	validation	47	4	2
#7F7F7F	50	5	train error: 42%	train	48	4	1
#000000	50	0	validation error: 42%	validation	48	4	2
#7F7F7F	50	5	train error: 42%	train	49	4	1
#000000	50	0	validation error: 42%	validation	49	4	2
#7F7F7F	50	5	train error: 42%	train	50	4	1
#000000	50	0	validation error: 42%	validation	50	4	2
