group	y
1	0.6875
2	0.6875
3	0.6875
4	0.6875
5	0.6875
6	0.6875
7	0.6875
8	0.6875
9	0.6875
10	0.6875
11	0.6875
12	0.6875
13	0.6875
14	0.6875
15	0.6875
16	0.6875
17	0.6875
18	0.6875
19	0.6875
20	0.6875
21	0.6875
22	0.6875
23	0.6875
24	0.6875
25	0.6875
26	0.6875
27	0.6875
28	0.6875
29	0.6875
30	0.6875
31	0.6875
32	0.6875
33	0.6875
34	0.6875
35	0.6875
36	0.6875
37	0.6875
38	0.6875
39	0.6875
40	0.6875
41	0.6875
42	0.6875
43	0.6875
44	0.6875
45	0.6875
46	0.6875
47	0.6875
48	0.6875
49	0.6875
50	0.6875
51	0.6875
52	0.6875
53	0.6875
54	0.6875
55	0.6875
56	0.6875
57	0.6875
58	0.6875
59	0.6875
60	0.6875
61	0.6875
62	0.6875
63	0.6875
64	0.6875
65	0.6875
66	0.6875
67	0.6875
68	0.6875
69	0.6875
70	0.75
71	0.75
72	0.75
73	0.75
74	0.75
75	0.8125
76	0.8125
77	0.8125
78	0.8125
79	0.8125
80	0.8125
81	0.8125
82	0.8125
83	0.8125
84	0.8125
85	0.875
86	0.875
87	0.875
88	0.875
89	0.875
90	0.875
91	0.875
92	0.875
93	0.875
94	0.875
95	0.875
96	0.8125
97	0.8125
98	0.8125
99	0.8125
100	0.8125
101	0.8125
102	0.8125
103	0.8125
104	0.8125
105	0.8125
106	0.8125
107	0.875
108	0.875
109	0.875
110	0.875
111	0.875
112	0.875
113	0.875
114	0.875
115	0.875
116	0.8125
117	0.8125
118	0.8125
119	0.75
120	0.75
121	0.75
122	0.75
123	0.75
124	0.6875
125	0.6875
126	0.6875
127	0.6875
128	0.6875
129	0.6875
130	0.6875
131	0.6875
132	0.6875
133	0.6875
134	0.6875
135	0.6875
136	0.6875
137	0.6875
138	0.6875
139	0.6875
140	0.6875
141	0.6875
142	0.6875
143	0.6875
144	0.6875
145	0.75
146	0.75
147	0.75
148	0.75
149	0.75
150	0.75
151	0.75
152	0.75
153	0.75
154	0.75
155	0.75
156	0.75
157	0.75
158	0.75
159	0.75
160	0.75
161	0.75
162	0.75
163	0.75
164	0.75
165	0.75
166	0.75
167	0.75
168	0.75
169	0.75
170	0.75
171	0.75
172	0.75
173	0.75
174	0.75
175	0.75
176	0.75
177	0.75
178	0.75
179	0.75
180	0.75
181	0.75
182	0.75
183	0.75
184	0.75
185	0.75
186	0.75
187	0.75
188	0.75
189	0.75
190	0.75
191	0.75
192	0.75
193	0.75
194	0.75
195	0.75
196	0.75
197	0.75
198	0.75
199	0.75
200	0.75
201	0.375
202	0.375
203	0.375
204	0.375
205	0.375
206	0.375
207	0.375
208	0.375
209	0.375
210	0.375
211	0.375
212	0.375
213	0.375
214	0.375
215	0.375
216	0.375
217	0.375
218	0.375
219	0.375
220	0.375
221	0.375
222	0.375
223	0.375
224	0.375
225	0.375
226	0.375
227	0.375
228	0.375
229	0.375
230	0.375
231	0.375
232	0.375
233	0.375
234	0.375
235	0.375
236	0.375
237	0.375
238	0.375
239	0.375
240	0.375
241	0.375
242	0.375
243	0.375
244	0.375
245	0.375
246	0.375
247	0.375
248	0.375
249	0.4375
250	0.4375
251	0.4375
252	0.4375
253	0.4375
254	0.5
255	0.5
256	0.5
257	0.5625
258	0.5625
259	0.5625
260	0.5625
261	0.5625
262	0.5625
263	0.5625
264	0.5625
265	0.5625
266	0.5625
267	0.5625
268	0.5625
269	0.5
270	0.5625
271	0.5625
272	0.5625
273	0.5625
274	0.5625
275	0.5625
276	0.5625
277	0.5625
278	0.5625
279	0.5625
280	0.5625
281	0.625
282	0.625
283	0.625
284	0.625
285	0.6875
286	0.6875
287	0.6875
288	0.6875
289	0.6875
290	0.6875
291	0.6875
292	0.6875
293	0.6875
294	0.6875
295	0.6875
296	0.6875
297	0.6875
298	0.6875
299	0.625
300	0.625
301	0.625
302	0.625
303	0.625
304	0.6875
305	0.6875
306	0.6875
307	0.75
308	0.75
309	0.75
310	0.75
311	0.75
312	0.75
313	0.6875
314	0.6875
315	0.6875
316	0.75
317	0.75
318	0.75
319	0.75
320	0.75
321	0.75
322	0.75
323	0.75
324	0.8125
325	0.8125
326	0.75
327	0.75
328	0.75
329	0.75
330	0.75
331	0.75
332	0.6875
333	0.6875
334	0.6875
335	0.6875
336	0.6875
337	0.6875
338	0.6875
339	0.6875
340	0.6875
341	0.6875
342	0.6875
343	0.6875
344	0.6875
345	0.6875
346	0.6875
347	0.75
348	0.75
349	0.8125
350	0.8125
351	0.8125
352	0.8125
353	0.8125
354	0.8125
355	0.8125
356	0.8125
357	0.8125
358	0.8125
359	0.8125
360	0.8125
361	0.875
362	0.875
363	0.875
364	0.875
365	0.875
366	0.875
367	0.875
368	0.875
369	0.875
370	0.875
371	0.875
372	0.875
373	0.875
374	0.875
375	0.875
376	0.875
377	0.875
378	0.875
379	0.875
380	0.875
381	0.875
382	0.875
383	0.875
384	0.875
385	0.875
386	0.875
387	0.875
388	0.875
389	0.875
390	0.875
391	0.875
392	0.875
393	0.875
394	0.875
395	0.875
396	0.875
397	0.875
398	0.875
399	0.875
400	0.875
401	0.4375
402	0.4375
403	0.4375
404	0.4375
405	0.4375
406	0.4375
407	0.4375
408	0.4375
409	0.4375
410	0.4375
411	0.4375
412	0.4375
413	0.4375
414	0.4375
415	0.4375
416	0.4375
417	0.4375
418	0.4375
419	0.4375
420	0.4375
421	0.4375
422	0.4375
423	0.4375
424	0.4375
425	0.4375
426	0.4375
427	0.4375
428	0.4375
429	0.4375
430	0.4375
431	0.4375
432	0.4375
433	0.4375
434	0.4375
435	0.4375
436	0.4375
437	0.4375
438	0.4375
439	0.4375
440	0.4375
441	0.4375
442	0.4375
443	0.4375
444	0.4375
445	0.4375
446	0.375
447	0.375
448	0.375
449	0.3125
450	0.3125
451	0.3125
452	0.3125
453	0.3125
454	0.3125
455	0.3125
456	0.3125
457	0.25
458	0.25
459	0.25
460	0.25
461	0.25
462	0.25
463	0.25
464	0.25
465	0.25
466	0.25
467	0.25
468	0.25
469	0.1875
470	0.1875
471	0.1875
472	0.1875
473	0.125
474	0.125
475	0.0625
476	0.0625
477	0.0625
478	0.0625
479	0.0625
480	0.0625
481	0.0625
