group	y
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	0.8
24	0.8
25	0.8
26	0.8
27	0.8
28	0.8
29	0.8
30	0.8
31	0.8
32	0.8
33	0.6
34	0.6
35	0.6
36	0.6
37	0.6
38	0.6
39	0.6
40	0.6
41	0.6
42	0.6
43	0.6
44	0.6
45	0.6
46	0.6
47	0.6
48	0.4
49	0.4
50	0.4
51	0.4
52	0.4
53	0.6
54	0.6
55	0.6
56	0.6
57	0.6
58	0.6
59	0.6
60	0.6
61	0.6
62	0.6
63	0.6
64	0.6
65	0.6
66	0.6
67	0.6
68	0.6
69	0.6
70	0.6
71	0.6
72	0.6
73	0.6
74	0.6
75	0.6
76	0.6
77	0.6
78	0.6
79	0.6
80	0.6
81	0.8
82	0.8
83	0.8
84	0.8
85	0.8
86	0.8
87	0.8
88	0.8
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	0.8
113	0.8
114	0.8
115	0.6
116	0.6
117	0.6
118	0.6
119	0.6
120	0.6
121	0.6
122	0.6
123	0.6
124	0.6
125	0.6
126	0.6
127	0.6
128	0.6
129	0.6
130	0.6
131	0.6
132	0.8
133	0.8
134	0.8
135	0.8
136	0.6
137	0.6
138	0.6
139	0.6
140	0.6
141	0.6
142	0.6
143	0.6
144	0.6
145	0.4
146	0.4
147	0.4
148	0.4
149	0.6
150	0.6
151	0.8
152	0.8
153	0.8
154	0.8
155	0.8
156	1
157	1
158	1
159	1
160	1
161	0.8
162	0.8
163	0.8
164	0.8
165	0.8
166	0.8
167	0.8
168	0.8
169	0.8
170	0.8
171	0.8
172	0.8
173	0.8
174	0.8
175	0.8
176	0.6
177	0.6
178	0.8
179	0.8
180	0.8
181	0.8
182	0.8
183	0.8
184	0.8
185	0.8
186	0.8
187	0.8
188	0.8
189	0.8
190	0.8
191	0.8
192	0.8
193	0.8
194	0.8
195	0.8
196	0.8
197	0.8
198	0.8
199	0.8
200	0.8
201	0.2
202	0.2
203	0.2
204	0.2
205	0.2
206	0.2
207	0.2
208	0.2
209	0.2
210	0.2
211	0.2
212	0.2
213	0.2
214	0.2
215	0.2
216	0.2
217	0.2
218	0.2
219	0.2
220	0.2
221	0.2
222	0.2
223	0.2
224	0.2
225	0.2
226	0.2
227	0.2
228	0.4
229	0.4
230	0.4
231	0.4
232	0.4
233	0.6
234	0.6
235	0.6
236	0.6
237	0.6
238	0.6
239	0.6
240	0.6
241	0.6
242	0.6
243	0.6
244	0.6
245	0.6
246	0.6
247	0.6
248	0.4
249	0.4
250	0.4
251	0.4
252	0.4
253	0.6
254	0.6
255	0.6
256	0.6
257	0.6
258	0.6
259	0.6
260	0.4
261	0.4
262	0.4
263	0.4
264	0.4
265	0.4
266	0.4
267	0.4
268	0.4
269	0.4
270	0.4
271	0.4
272	0.4
273	0.4
274	0.4
275	0.4
276	0.4
277	0.4
278	0.4
279	0.2
280	0.2
281	0.4
282	0.4
283	0.4
284	0.4
285	0.6
286	0.6
287	0.6
288	0.6
289	0.8
290	0.8
291	0.8
292	0.6
293	0.8
294	0.8
295	0.8
296	0.8
297	0.8
298	0.8
299	0.8
300	0.8
301	0.8
302	0.8
303	0.8
304	0.8
305	0.8
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	0.8
314	0.8
315	0.6
316	0.6
317	0.6
318	0.6
319	0.6
320	0.6
321	0.6
322	0.6
323	0.6
324	0.6
325	0.6
326	0.6
327	0.6
328	0.6
329	0.6
330	0.6
331	0.6
332	0.4
333	0.4
334	0.4
335	0.4
336	0.6
337	0.6
338	0.8
339	0.8
340	0.8
341	0.8
342	0.8
343	0.8
344	0.8
345	1
346	1
347	1
348	1
349	0.8
350	0.8
351	0.8
352	0.6
353	0.6
354	0.6
355	0.6
356	0.6
357	0.6
358	0.6
359	0.8
360	0.8
361	0.8
362	0.8
363	0.8
364	0.8
365	1
366	1
367	1
368	1
369	1
370	1
371	1
372	1
373	1
374	1
375	1
376	1
377	1
378	1
379	1
380	1
381	1
382	1
383	1
384	1
385	1
386	1
387	1
388	1
389	1
390	1
391	1
392	1
393	1
394	1
395	1
396	1
397	1
398	1
399	1
400	1
401	0.8
402	0.8
403	0.8
404	0.8
405	0.8
406	0.8
407	0.8
408	0.8
409	0.8
410	0.8
411	0.8
412	0.8
413	0.8
414	0.8
415	0.8
416	0.8
417	0.8
418	0.8
419	0.8
420	0.8
421	0.8
422	0.8
423	0.8
424	0.8
425	0.8
426	0.8
427	0.8
428	0.8
429	0.8
430	0.8
431	0.8
432	0.8
433	1
434	1
