colour	x	showSelectedlegendcolour	PANEL	group
#FF0000	-2	pred.prob	1	1
#FF0000	-1.97989949748744	pred.prob	1	2
#FF0000	-1.95979899497487	pred.prob	1	3
#FF0000	-1.93969849246231	pred.prob	1	4
#FF0000	-1.91959798994975	pred.prob	1	5
#FF0000	-1.89949748743719	pred.prob	1	6
#FF0000	-1.87939698492462	pred.prob	1	7
#FF0000	-1.85929648241206	pred.prob	1	8
#FF0000	-1.8391959798995	pred.prob	1	9
#FF0000	-1.81909547738693	pred.prob	1	10
#FF0000	-1.79899497487437	pred.prob	1	11
#FF0000	-1.77889447236181	pred.prob	1	12
#FF0000	-1.75879396984925	pred.prob	1	13
#FF0000	-1.73869346733668	pred.prob	1	14
#FF0000	-1.71859296482412	pred.prob	1	15
#FF0000	-1.69849246231156	pred.prob	1	16
#FF0000	-1.67839195979899	pred.prob	1	17
#FF0000	-1.65829145728643	pred.prob	1	18
#FF0000	-1.63819095477387	pred.prob	1	19
#FF0000	-1.61809045226131	pred.prob	1	20
#FF0000	-1.59798994974874	pred.prob	1	21
#FF0000	-1.57788944723618	pred.prob	1	22
#FF0000	-1.55778894472362	pred.prob	1	23
#FF0000	-1.53768844221106	pred.prob	1	24
#FF0000	-1.51758793969849	pred.prob	1	25
#FF0000	-1.49748743718593	pred.prob	1	26
#FF0000	-1.47738693467337	pred.prob	1	27
#FF0000	-1.4572864321608	pred.prob	1	28
#FF0000	-1.43718592964824	pred.prob	1	29
#FF0000	-1.41708542713568	pred.prob	1	30
#FF0000	-1.39698492462312	pred.prob	1	31
#FF0000	-1.37688442211055	pred.prob	1	32
#FF0000	-1.35678391959799	pred.prob	1	33
#FF0000	-1.33668341708543	pred.prob	1	34
#FF0000	-1.31658291457286	pred.prob	1	35
#FF0000	-1.2964824120603	pred.prob	1	36
#FF0000	-1.27638190954774	pred.prob	1	37
#FF0000	-1.25628140703518	pred.prob	1	38
#FF0000	-1.23618090452261	pred.prob	1	39
#FF0000	-1.21608040201005	pred.prob	1	40
#FF0000	-1.19597989949749	pred.prob	1	41
#FF0000	-1.17587939698492	pred.prob	1	42
#FF0000	-1.15577889447236	pred.prob	1	43
#FF0000	-1.1356783919598	pred.prob	1	44
#FF0000	-1.11557788944724	pred.prob	1	45
#FF0000	-1.09547738693467	pred.prob	1	46
#FF0000	-1.07537688442211	pred.prob	1	47
#FF0000	-1.05527638190955	pred.prob	1	48
#FF0000	-1.03517587939698	pred.prob	1	49
#FF0000	-1.01507537688442	pred.prob	1	50
#FF0000	-0.994974874371859	pred.prob	1	51
#FF0000	-0.974874371859296	pred.prob	1	52
