group	y
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	0.75
25	0.75
26	0.75
27	0.75
28	0.75
29	0.75
30	0.75
31	0.75
32	0.75
33	0.75
34	0.5
35	0.5
36	0.5
37	0.5
38	0.5
39	0.5
40	0.5
41	0.5
42	0.5
43	0.5
44	0.5
45	0.5
46	0.5
47	0.5
48	0.5
49	0.5
50	0.5
51	0.5
52	0.5
53	0.5
54	0.5
55	0.5
56	0.5
57	0.5
58	0.5
59	0.5
60	0.75
61	0.75
62	0.5
63	0.5
64	0.5
65	0.5
66	0.75
67	0.75
68	0.75
69	0.75
70	0.75
71	0.75
72	0.75
73	0.5
74	0.5
75	0.5
76	0.5
77	0.5
78	0.5
79	0.5
80	0.75
81	0.75
82	0.75
83	0.75
84	0.75
85	0.75
86	0.75
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	0.75
113	0.75
114	0.75
115	0.75
116	0.75
117	0.75
118	0.75
119	0.5
120	0.5
121	0.5
122	0.5
123	0.5
124	0.5
125	0.5
126	0.5
127	0.5
128	0.5
129	0.5
130	0.75
131	0.75
132	0.75
133	0.75
134	0.75
135	0.75
136	0.75
137	0.75
138	0.75
139	0.5
140	0.5
141	0.5
142	0.5
143	0.5
144	0.5
145	0.5
146	0.5
147	0.5
148	0.5
149	0.5
150	0.5
151	0.75
152	0.75
153	0.75
154	0.75
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	0.75
163	0.75
164	0.75
165	0.75
166	0.75
167	0.75
168	0.75
169	0.75
170	0.75
171	0.75
172	0.75
173	0.75
174	0.75
175	0.75
176	0.75
177	0.75
178	0.75
179	0.75
180	0.75
181	0.75
182	0.75
183	0.75
184	0.75
185	0.75
186	0.75
187	0.75
188	0.75
189	0.75
190	0.75
191	0.75
192	0.75
193	0.75
194	0.75
195	0.75
196	0.75
197	0.75
198	0.75
199	0.75
200	0.75
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0.25
224	0.25
225	0.25
226	0.25
227	0.25
228	0.25
229	0.25
230	0.25
231	0.25
232	0.5
233	0.5
234	0.75
235	0.75
236	0.75
237	0.75
238	0.75
239	0.75
240	0.75
241	0.75
242	0.75
243	0.75
244	0.75
245	0.75
246	0.75
247	0.75
248	0.5
249	0.5
250	0.5
251	0.5
252	0.5
253	0.5
254	0.5
255	0.5
256	0.5
257	0.5
258	0.5
259	0.5
260	0.5
261	0.5
262	0.5
263	0.5
264	0.5
265	0.5
266	0.5
267	0.5
268	0.5
269	0.5
270	0.5
271	0.5
272	0.5
273	0.25
274	0.25
275	0.25
276	0.25
277	0.25
278	0.25
279	0.25
280	0.25
281	0.25
282	0.25
283	0.25
284	0.25
285	0.5
286	0.5
287	0.75
288	0.75
289	0.75
290	0.75
291	0.75
292	0.75
293	0.75
294	0.75
295	0.75
296	0.75
297	0.75
298	0.75
299	0.75
300	0.75
301	0.75
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	0.75
316	0.75
317	0.75
318	0.75
319	0.5
320	0.5
321	0.5
322	0.5
323	0.5
324	0.5
325	0.5
326	0.5
327	0.5
328	0.5
329	0.5
330	0.5
331	0.5
332	0.5
333	0.5
334	0.5
335	0.5
336	0.5
337	0.75
338	0.75
339	0.75
340	0.75
341	0.75
342	0.75
343	1
344	1
345	1
346	1
347	1
348	1
349	1
350	0.75
351	0.75
352	0.75
353	0.75
354	0.75
355	0.5
356	0.5
357	0.75
358	0.75
359	0.75
360	0.75
361	0.75
362	1
363	1
364	1
365	1
366	1
367	1
368	1
369	1
370	1
371	1
372	1
373	1
374	1
375	1
376	1
377	1
378	1
379	1
380	1
381	1
382	1
383	1
384	1
385	1
386	1
387	1
388	1
389	1
390	1
391	1
392	1
393	1
394	1
395	1
396	1
397	1
398	1
399	1
400	1
401	0.75
402	0.75
403	0.75
404	0.75
405	0.75
406	0.75
407	0.75
408	0.75
409	0.75
410	0.75
411	0.75
412	0.75
413	0.75
414	0.75
415	0.75
416	0.75
417	0.75
418	0.75
419	0.75
420	0.75
421	0.75
422	0.75
423	0.75
424	0.75
425	0.75
426	0.75
427	0.75
428	0.75
429	0.75
430	0.75
431	0.75
432	1
433	1
434	1
435	1
436	1
437	1
438	1
439	1
440	1
441	1
442	1
443	1
444	1
445	1
446	1
447	1
448	0.75
449	0.5
450	0.5
451	0.5
452	0.5
