xmin	xmax	clickSelects	PANEL	group
0.5	1.5	1	1	-1
1.5	2.5	2	1	-1
2.5	3.5	3	1	-1
3.5	4.5	4	1	-1
4.5	5.5	5	1	-1
5.5	6.5	6	1	-1
6.5	7.5	7	1	-1
7.5	8.5	8	1	-1
8.5	9.5	9	1	-1
9.5	10.5	10	1	-1
10.5	11.5	11	1	-1
11.5	12.5	12	1	-1
12.5	13.5	13	1	-1
13.5	14.5	14	1	-1
14.5	15.5	15	1	-1
15.5	16.5	16	1	-1
16.5	17.5	17	1	-1
17.5	18.5	18	1	-1
18.5	19.5	19	1	-1
19.5	20.5	20	1	-1
20.5	21.5	21	1	-1
21.5	22.5	22	1	-1
22.5	23.5	23	1	-1
23.5	24.5	24	1	-1
24.5	25.5	25	1	-1
25.5	26.5	26	1	-1
26.5	27.5	27	1	-1
27.5	28.5	28	1	-1
28.5	29.5	29	1	-1
29.5	30.5	30	1	-1
30.5	31.5	31	1	-1
31.5	32.5	32	1	-1
32.5	33.5	33	1	-1
33.5	34.5	34	1	-1
34.5	35.5	35	1	-1
35.5	36.5	36	1	-1
36.5	37.5	37	1	-1
37.5	38.5	38	1	-1
38.5	39.5	39	1	-1
39.5	40.5	40	1	-1
40.5	41.5	41	1	-1
41.5	42.5	42	1	-1
42.5	43.5	43	1	-1
43.5	44.5	44	1	-1
44.5	45.5	45	1	-1
45.5	46.5	46	1	-1
46.5	47.5	47	1	-1
47.5	48.5	48	1	-1
48.5	49.5	49	1	-1
49.5	50.5	50	1	-1
0.5	1.5	1	2	-1
1.5	2.5	2	2	-1
2.5	3.5	3	2	-1
3.5	4.5	4	2	-1
4.5	5.5	5	2	-1
5.5	6.5	6	2	-1
6.5	7.5	7	2	-1
7.5	8.5	8	2	-1
8.5	9.5	9	2	-1
9.5	10.5	10	2	-1
10.5	11.5	11	2	-1
11.5	12.5	12	2	-1
12.5	13.5	13	2	-1
13.5	14.5	14	2	-1
14.5	15.5	15	2	-1
15.5	16.5	16	2	-1
16.5	17.5	17	2	-1
17.5	18.5	18	2	-1
18.5	19.5	19	2	-1
19.5	20.5	20	2	-1
20.5	21.5	21	2	-1
21.5	22.5	22	2	-1
22.5	23.5	23	2	-1
23.5	24.5	24	2	-1
24.5	25.5	25	2	-1
25.5	26.5	26	2	-1
26.5	27.5	27	2	-1
27.5	28.5	28	2	-1
28.5	29.5	29	2	-1
29.5	30.5	30	2	-1
30.5	31.5	31	2	-1
31.5	32.5	32	2	-1
32.5	33.5	33	2	-1
33.5	34.5	34	2	-1
34.5	35.5	35	2	-1
35.5	36.5	36	2	-1
36.5	37.5	37	2	-1
37.5	38.5	38	2	-1
38.5	39.5	39	2	-1
39.5	40.5	40	2	-1
40.5	41.5	41	2	-1
41.5	42.5	42	2	-1
42.5	43.5	43	2	-1
43.5	44.5	44	2	-1
44.5	45.5	45	2	-1
45.5	46.5	46	2	-1
46.5	47.5	47	2	-1
47.5	48.5	48	2	-1
48.5	49.5	49	2	-1
49.5	50.5	50	2	-1
0.5	1.5	1	3	-1
1.5	2.5	2	3	-1
2.5	3.5	3	3	-1
3.5	4.5	4	3	-1
4.5	5.5	5	3	-1
5.5	6.5	6	3	-1
6.5	7.5	7	3	-1
7.5	8.5	8	3	-1
8.5	9.5	9	3	-1
9.5	10.5	10	3	-1
10.5	11.5	11	3	-1
11.5	12.5	12	3	-1
12.5	13.5	13	3	-1
13.5	14.5	14	3	-1
14.5	15.5	15	3	-1
15.5	16.5	16	3	-1
16.5	17.5	17	3	-1
17.5	18.5	18	3	-1
18.5	19.5	19	3	-1
19.5	20.5	20	3	-1
20.5	21.5	21	3	-1
21.5	22.5	22	3	-1
22.5	23.5	23	3	-1
23.5	24.5	24	3	-1
24.5	25.5	25	3	-1
25.5	26.5	26	3	-1
26.5	27.5	27	3	-1
27.5	28.5	28	3	-1
28.5	29.5	29	3	-1
29.5	30.5	30	3	-1
30.5	31.5	31	3	-1
31.5	32.5	32	3	-1
32.5	33.5	33	3	-1
33.5	34.5	34	3	-1
34.5	35.5	35	3	-1
35.5	36.5	36	3	-1
36.5	37.5	37	3	-1
37.5	38.5	38	3	-1
38.5	39.5	39	3	-1
39.5	40.5	40	3	-1
40.5	41.5	41	3	-1
41.5	42.5	42	3	-1
42.5	43.5	43	3	-1
43.5	44.5	44	3	-1
44.5	45.5	45	3	-1
45.5	46.5	46	3	-1
46.5	47.5	47	3	-1
47.5	48.5	48	3	-1
48.5	49.5	49	3	-1
49.5	50.5	50	3	-1
0.5	1.5	1	4	-1
1.5	2.5	2	4	-1
2.5	3.5	3	4	-1
3.5	4.5	4	4	-1
4.5	5.5	5	4	-1
5.5	6.5	6	4	-1
6.5	7.5	7	4	-1
7.5	8.5	8	4	-1
8.5	9.5	9	4	-1
9.5	10.5	10	4	-1
10.5	11.5	11	4	-1
11.5	12.5	12	4	-1
12.5	13.5	13	4	-1
13.5	14.5	14	4	-1
14.5	15.5	15	4	-1
15.5	16.5	16	4	-1
16.5	17.5	17	4	-1
17.5	18.5	18	4	-1
18.5	19.5	19	4	-1
19.5	20.5	20	4	-1
20.5	21.5	21	4	-1
21.5	22.5	22	4	-1
22.5	23.5	23	4	-1
23.5	24.5	24	4	-1
24.5	25.5	25	4	-1
