xmin	xmax	clickSelects	PANEL	group
25.5	26.5	26	4	-1
26.5	27.5	27	4	-1
27.5	28.5	28	4	-1
28.5	29.5	29	4	-1
29.5	30.5	30	4	-1
30.5	31.5	31	4	-1
31.5	32.5	32	4	-1
32.5	33.5	33	4	-1
33.5	34.5	34	4	-1
34.5	35.5	35	4	-1
35.5	36.5	36	4	-1
36.5	37.5	37	4	-1
37.5	38.5	38	4	-1
38.5	39.5	39	4	-1
39.5	40.5	40	4	-1
40.5	41.5	41	4	-1
41.5	42.5	42	4	-1
42.5	43.5	43	4	-1
43.5	44.5	44	4	-1
44.5	45.5	45	4	-1
45.5	46.5	46	4	-1
46.5	47.5	47	4	-1
47.5	48.5	48	4	-1
48.5	49.5	49	4	-1
49.5	50.5	50	4	-1
